model,year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Petrol
 Fiesta,2017,12000,15944,57.7,1.0,1,0,0,0,0,0,1
 Focus,2018,14000,9083,57.7,1.0,0,1,0,0,0,0,1
 Focus,2017,13000,12456,57.7,1.0,0,1,0,0,0,0,1
 Fiesta,2019,17500,10460,40.3,1.5,0,1,0,0,0,0,1
 Fiesta,2019,16500,1482,48.7,1.0,1,0,0,0,0,0,1
 Fiesta,2015,10500,35432,47.9,1.6,0,1,0,0,0,0,1
 Puma,2019,22500,2029,50.4,1.0,0,1,0,0,0,0,1
 Fiesta,2017,9000,13054,54.3,1.2,0,1,0,0,0,0,1
 Kuga,2019,25500,6894,42.2,2.0,1,0,0,1,0,0,0
 Focus,2018,10000,48141,61.4,1.0,0,1,0,0,0,0,1
 Fiesta,2018,11561,18803,56.5,1.0,0,1,0,0,0,0,1
 EcoSport,2018,13500,12065,54.3,1.0,0,1,0,0,0,0,1
 Fiesta,2017,11000,20978,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2018,17999,9002,54.3,2.0,0,0,1,1,0,0,0
 Kuga,2018,18999,8970,58.9,1.5,0,0,1,1,0,0,0
 Kuga,2018,14399,12810,64.2,1.5,0,1,0,1,0,0,0
 Kuga,2019,17999,10428,38.2,2.0,0,1,0,1,0,0,0
 Kuga,2018,16899,14680,54.3,2.0,0,1,0,1,0,0,0
 Fiesta,2017,10999,12427,62.8,1.0,0,1,0,0,0,0,1
 Fiesta,2019,12500,25521,55.4,1.0,0,1,0,0,0,0,1
 Fiesta,2018,9499,20400,55.4,1.1,0,1,0,0,0,0,1
 Fiesta,2017,10500,24926,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2017,8995,26163,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2014,8995,59000,47.9,2.0,0,1,0,1,0,0,0
 Fiesta,2014,6795,35299,65.7,1.0,0,1,0,0,0,0,1
 Focus,2017,18499,13063,41.5,2.0,0,1,0,0,0,0,1
 C-MAX,2018,11799,23800,68.9,1.5,0,1,0,1,0,0,0
 Fiesta,2015,8299,25935,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,12499,8700,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2017,8699,25000,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2016,7999,60730,78.5,1.5,0,1,0,1,0,0,0
 Fiesta,2017,8991,18561,54.3,1.2,0,1,0,0,0,0,1
 Focus,2019,18990,8400,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2013,7236,39090,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2018,15287,33149,58.9,1.5,0,0,1,1,0,0,0
 EcoSport,2020,20000,558,53.3,1.0,0,1,0,0,0,0,1
 Kuga,2019,21378,3259,39.2,2.0,0,1,0,1,0,0,0
 Fiesta,2018,9814,15100,65.7,1.0,0,1,0,0,0,0,1
 Ka+,2018,8261,25000,57.7,1.2,0,1,0,0,0,0,1
 Fiesta,2017,8788,15612,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2018,12251,8920,58.9,1.0,0,1,0,0,0,0,1
 Kuga,2017,16320,24803,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2019,13140,7,48.7,1.1,0,1,0,0,0,0,1
 Fiesta,2018,10491,43019,48.7,1.0,0,0,1,0,0,0,1
