model,year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Other,Petrol
 Grand Tourneo Connect,2019,19999,3500,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2018,15990,9486,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2017,13998,4856,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,19999,3500,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2018,15990,9486,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2018,16298,10703,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2017,14998,12757,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2016,11410,47548,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,17998,1144,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,18500,542,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2016,13000,29000,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2019,14998,11500,46.3,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2018,12298,25546,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2016,11790,29416,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,16500,6069,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,12298,17442,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,14998,18209,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2016,13995,30000,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,14698,14801,64.2,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2019,16930,15297,61.4,1.5,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2016,12157,45228,56.6,1.5,1,0,0,1,0,0,0,0
 Grand Tourneo Connect,2017,15999,24712,64.2,1.5,0,1,0,1,0,0,0,0
